gene_name,index
AARS1,21
ABCB6,47
ABCC5,58
ABCF1,67
ABCF3,69
ABHD4,92
ABHD6,94
ABL1,101
ACAA1,115
ACAT2,133
ACBD3,134
ACD,141
ACLY,153
ACOT9,167
ADAM10,247
ADAT1,297
ADGRE5,330
ADGRG1,336
ADH5,352
ADI1,356
ADO,368
ADRB2,385
AGL,427
AKAP8,503
AKAP8L,504
AKR7A2,522
AKT1,525
ALAS1,531
ALDH7A1,551
ALDOA,554
ALDOC,556
AMDHD2,610
ANKRD10,687
ANO10,752
ANXA7,781
APBB2,826
APOE,868
APP,881
APPBP2,882
ARFIP2,923
ARHGAP1,929
ARHGEF12,971
ARHGEF2,977
ARID4B,1000
ARID5B,1002
ARL4C,1013
ARNT2,1057
ARPP19,1068
ASAH1,1097
ASCC3,1123
ATF1,1177
ATF5,1181
ATF6,1182
ATG3,1196
ATMIN,1210
ATP11B,1220
ATP1B1,1232
ATP2C1,1244
ATP6V0B,1272
ATP6V1D,1283
AURKA,1327
AURKB,1329
AXIN1,1343
B4GAT1,1384
BACE2,1392
BAD,1395
BAG3,1398
BAMBI,1412
BAX,1427
BCL2,1467
BCL7B,1481
BDH1,1493
BECN1,1500
BHLHE40,1530
BID,1541
BIRC2,1546
BIRC5,1548
BLCAP,1554
BLMH,1558
BLVRA,1566
BMP4,1578
BNIP3,1595
BNIP3L,1596
BPHL,1616
BRCA1,1636
BTK,1702
BUB1B,1716
BZW2,1724
C2CD2,1913
C2CD2L,1914
C2CD5,1920
C5,1972
CAB39,2054
CALM3,2123
CALU,2131
CAMSAP2,2150
CANT1,2156
CAPN1,2161
CARMIL1,2199
CASC3,2207
CASK,2209
CASP10,2213
CASP2,2216
CASP3,2217
CASP7,2221
CAST,2229
CAT,2234
CBLB,2257
CBR1,2266
CBR3,2267
CCDC85B,2414
CCDC86,2416
CCDC92,2425
CCL2,2446
CCNA1,2471
CCNA2,2472
CCNB1,2473
CCNB2,2475
CCND1,2478
CCND3,2480
CCNE2,2483
CCNF,2484
CCNH,2487
CCP110,2502
CD320,2574
CD40,2584
CD44,2586
CD58,2594
CDC20,2629
CDC25A,2632
CDC25B,2633
CDC42,2641
CDC45,2652
CDCA4,2659
CDH3,2682
CDK1,2697
CDK19,2708
CDK2,2709
CDK4,2714
CDK5R1,2716
CDK6,2721
CDK7,2722
CDKN1A,2731
CDKN1B,2732
CDKN2A,2734
CEBPA,2776
CEBPD,2778
CEBPZ,2781
CEMIP2,2800
CENPE,2807
CEP57,2852
CERK,2869
CETN3,2885
CFLAR,2945
CGRRF1,2960
CHAC1,2962
CHEK1,2989
CHEK2,2990
CHERP,2991
CHIC2,2999
CHMP4A,3012
CHMP6,3016
CHN1,3018
CHP1,3022
CIAO3,3078
CIAPIN1,3079
CIRBP,3099
CISD1,3101
CLIC4,3204
CLPX,3232
CLSTN1,3238
CLTB,3242
CLTC,3243
CNDP2,3281
CNOT4,3310
CNPY3,3320
COASY,3352
COG2,3357
COG4,3359
COG7,3362
COL1A1,3376
COL4A1,3389
COPB2,3431
COPS7A,3441
COQ8A,3456
CORO1A,3460
CPNE3,3525
CPSF4,3540
CREB1,3572
CREG1,3583
CRELD2,3586
CRK,3602
CRKL,3603
CRTAP,3618
CRYZ,3644
CSK,3666
CSNK1A1,3674
CSNK1E,3677
CSNK2A2,3682
CSRP1,3692
CTNNAL1,3767
CTNND1,3771
CTSD,3784
CTSL,3790
CTTN,3796
CXCL2,3840
CXCR4,3849
CYB561,3863
CYCS,3881
CYTH1,3953
DAG1,3973
DAXX,3990
DCK,4042
DCTD,4058
DCUN1D4,4069
DDB2,4077
DDIT4,4085
DDR1,4090
DDX10,4096
DDX42,4116
DECR1,4135
DENND2D,4197
DERA,4214
DFFA,4225
DFFB,4226
DHDDS,4248
DHRS7,4263
DHX29,4271
DIPK1A,4298
DLD,4322
DMAC2L,4349
DMTF1,4368
DNAJA3,4405
DNAJB1,4407
DNAJB2,4412
DNAJB6,4415
DNAJC15,4425
DNM1,4460
DNM1L,4461
DNMT1,4465
DNMT3A,4466
DNTTIP2,4473
DPH2,4511
DRAP1,4547
DSG2,4572
DUSP11,4606
DUSP14,4609
DUSP22,4616
DUSP3,4621
DUSP4,4622
DUSP6,4624
DYNLT3,4659
DYRK3,4665
E2F2,4674
EAPP,4684
EBNA1BP2,4694
EBP,4695
ECD,4697
ECH1,4701
EDEM1,4725
EDN1,4730
EED,4737
EFCAB14,4757
EGF,4786
EGFR,4791
EGR1,4795
EIF4EBP1,4856
EIF4G1,4860
EIF5,4864
ELAC2,4872
ELAVL1,4876
ELOVL6,4910
ELP1,4912
EML3,4940
ENOPH1,4968
ENOSF1,4969
EPB41L2,5001
EPHA3,5016
EPHB2,5023
EPN2,5034
EPRS1,5041
ERBB2,5056
ERBB3,5057
ERO1A,5100
ETFB,5139
ETS1,5147
ETV1,5149
EVL,5166
EXOSC4,5195
EXT1,5202
EZH2,5213
FAH,5257
FAIM,5261
FAM20B,5361
FAS,5485
FASTKD5,5492
FAT1,5493
FBXL12,5517
FBXO11,5535
FBXO21,5540
FBXO7,5567
FCHO1,5594
FDFT1,5612
FEZ2,5634
FGFR2,5676
FGFR4,5678
FHL2,5694
FIS1,5711
FKBP14,5718
FKBP4,5724
FOS,5795
FOSL1,5797
FOXJ3,5826
FOXO3,5839
FOXO4,5841
FPGS,5853
FRS2,5884
FSD1,5894
FUT1,5924
FYN,5949
FZD1,5951
FZD7,5958
G3BP1,5964
GAA,5970
GABPB1,5981
GADD45A,6004
GADD45B,6005
GALE,6038
GAPDH,6073
GARRE1,6089
GATA2,6104
GATA3,6105
GDPD5,6181
GET1,6191
GFOD1,6200
GFPT1,6202
GFUS,6209
GHR,6233
GLI2,6302
GLOD4,6315
GLRX,6323
GMNN,6356
GNA11,6362
GNA15,6366
GNAI1,6367
GNAI2,6368
GNAS,6373
GNB5,6383
GNPDA1,6405
GOLT1B,6454
GPATCH8,6486
GPC1,6490
GPER1,6500
GRB10,6625
GRB7,6628
GRN,6677
GRWD1,6684
GSTM2,6715
GSTZ1,6725
GTF2A2,6731
GTF2E2,6734
GTPBP8,6760
H2AZ2,6833
H2BC12,6837
H2BC21,6844
HACD3,6898
HADH,6902
HAT1,6925
HDAC2,6971
HDAC6,6975
HDGFL3,6985
HEATR1,6991
HEBP1,6998
HERC6,7027
HERPUD1,7028
HES1,7030
HIF1A,7067
HK1,7094
HLA-DMA,7101
HLA-DRA,7111
HMG20B,7128
HMGA2,7130
HMGCR,7137
HMGCS1,7138
HMOX1,7149
HOMER2,7189
HOOK2,7193
HOXA10,7199
HOXA5,7205
HPRT1,7249
HS2ST1,7272
HSD17B10,7290
HSD17B11,7291
HSPA1A,7325
HSPA4,7329
HSPA8,7333
HSPB1,7335
HSPD1,7345
HTATSF1,7350
HTRA1,7371
HYOU1,7389
IARS2,7394
ICAM1,7400
ICAM3,7402
ICMT,7407
ID2,7411
IDE,7414
IER3,7428
IFNAR1,7467
IFRD2,7482
IGF1R,7502
IGF2BP2,7505
IGF2R,7507
IGFBP3,7511
IGHMBP2,7524
IKBKB,7547
IKBKE,7548
IKZF1,7550
IL13RA1,7565
IL1B,7587
IL4R,7630
ILK,7644
INPP1,7686
INPP4B,7688
INSIG1,7699
INTS3,7720
IPO13,7736
IQGAP1,7762
ISOC1,7813
ITFG1,7820
ITGAE,7835
ITGB1BP1,7841
ITGB5,7847
JADE2,7890
JMJD6,7913
JPT2,7924
JUN,7929
KAT6A,7949
KAT6B,7950
KCNK1,8029
KCTD5,8084
KDELR2,8090
KDM3A,8097
KDM5A,8104
KDM5B,8105
KEAP1,8114
KHDC4,8120
KIAA0100,8128
KIAA0753,8135
KIF14,8164
KIF20A,8174
KIF2C,8187
KIF5C,8195
KIFBP,8200
KIT,8217
KLHDC2,8246
KLHL21,8265
KLHL9,8290
KTN1,8512
LAGE3,8533
LAMA3,8539
LAP3,8561
LBR,8587
LGALS8,8685
LGMN,8694
LIG1,8720
LIPA,8759
LOXL1,8823
LPAR2,8829
LPGAT1,8838
LRP10,8871
LRPAP1,8883
LRRC41,8920
LSM5,8991
LSM6,8992
LSR,8996
LYN,9045
LYPLA1,9055
LYRM1,9058
MACF1,9087
MALT1,9160
MAMLD1,9166
MAN2B1,9174
MAP2K5,9199
MAP3K4,9214
MAP4K4,9225
MAP7,9229
MAPK13,9238
MAPK1IP1L,9241
MAPK9,9250
MAPKAPK2,9252
MAPKAPK3,9253
MAPKAPK5,9254
MAST2,9290
MAT2A,9295
MBNL1,9325
MBNL2,9326
MBOAT7,9331
MBTPS1,9334
MCM3,9359
MCOLN1,9369
MCUR1,9382
ME2,9399
MEF2C,9441
MELK,9459
MEST,9473
METRN,9478
MFSD10,9524
MICALL1,9571
MIF,9590
MINDY1,9598
MKNK1,9622
MLEC,9632
MLLT11,9641
MMP1,9661
MMP2,9671
MNAT1,9691
MOK,9715
MPC2,9740
MPZL1,9769
MRPL12,9809
MRPL19,9816
MRPS16,9860
MRPS2,9865
MSH6,9916
MSRA,9928
MTA1,10008
MTERF3,10022
MTF2,10025
MTFR1,10028
MTHFD2,10035
MUC1,10078
MVP,10108
MYBL2,10123
MYC,10129
MYCBP,10130
MYCBP2,10131
MYL9,10168
MYLK,10170
MYO10,10178
NCAPD2,10342
NCK1,10359
NCK2,10360
NCOA3,10371
NENF,10492
NET1,10496
NFATC3,10525
NFATC4,10526
NFE2L2,10529
NFIL3,10534
NFKB2,10538
NFKBIA,10539
NFKBIB,10540
NFKBIE,10542
NGRN,10559
NIPSNAP1,10592
NISCH,10596
NIT1,10597
NMT1,10675
NNT,10682
NOL3,10697
NOLC1,10704
NOS3,10722
NOSIP,10723
NOTCH1,10725
NPC1,10753
NPDC1,10756
NPEPL1,10757
NPRL2,10793
NR1H2,10818
NR2F6,10830
NR3C1,10831
NRAS,10841
NRIP1,10855
NSDHL,10876
NT5DC2,10902
NUCB2,10935
NUDCD3,10940
NUDT9,10963
NUP133,10972
NUP62,10988
NUP85,10990
NUP88,10991
NUP93,10992
NUSAP1,10997
NVL,11006
ORC1,11543
OXA1L,11616
OXCT1,11617
OXSR1,11625
P4HA2,11651
P4HTM,11654
PACSIN3,11677
PAF1,11684
PAFAH1B1,11685
PAFAH1B3,11687
PAICS,11698
PAK1,11702
PAK4,11706
PAK6,11708
PAN2,11721
PARP1,11757
PARP2,11764
PAX8,11793
PCBD1,11810
PCCB,11817
PCK2,11845
PCM1,11848
PCMT1,11849
PCNA,11852
PDGFA,11921
PDHX,11931
PDIA5,11935
PDLIM1,11943
PDS5A,11955
PECR,11982
PEX11A,12006
PFKL,12033
PGAM1,12043
PGM1,12069
PGRMC1,12078
PHGDH,12114
PHKA1,12117
PHKB,12119
PHKG2,12121
PIGB,12167
PIH1D1,12189
PIK3C2B,12193
PIK3C3,12195
PIK3CA,12196
PIK3R3,12203
PIK3R4,12204
PIN1,12214
PIP4K2B,12221
PKIG,12264
PLA2G15,12281
PLA2G4A,12289
PLCB3,12320
PLEKHJ1,12369
PLEKHM1,12370
PLK1,12387
PLOD3,12396
PLP2,12398
PLS1,12413
PLSCR1,12415
PLSCR3,12417
PMAIP1,12435
PMM2,12444
PNKP,12455
PNP,12475
POLB,12505
POLD4,12509
POLE2,12513
POLG2,12517
POLR1C,12527
POLR2I,12541
POLR2K,12545
POP4,12575
PPARD,12619
PPARG,12620
PPIC,12647
PPIE,12649
PPOX,12674
PPP1R13B,12683
