SMILES,cell_id,label
Cc1csc(NC(=O)c2ccc(COc3cccc(Cl)c3)o2)n1,MCF7,0.0
OC[C@H]1O[C@H](CC(=O)N2CCOCC2)C[C@H]2[C@@H]1Oc1ccc(NC(=O)c3cccnc3)cc21,HEPG2,0.0
CC(N)C1CCC(CC1)C(=O)Nc2ccncc2,HME1,0.0
OC(=O)c1ccccc1-c1c2cc(I)c(O)c(I)c2oc2c(I)c(=O)c(I)cc12,HEPG2,0.0
O=C(Nc1cccs1)N2CCN(CC2)C(=O)C3CCCO3,VCAP,0.0
CCCNC(C)(C)COC(=O)c1ccccc1,VCAP,0.0
CON=C1C[C@]2(C[C@@H]3C[C@@H](CC=C(C)C[C@@H](C)C=CC=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@@H]([C@H]1C)C(C)=CC(C)C,PC3,0.0
ONC(=O)c1ccncc1,PC3,0.0
COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,A549,0.0
[O-][N+](=O)c1ccc(/C=C(C#N)/c2nc3ccccc3[nH]2)o1,SKB,0.0
C(c1cnc[nH]1)c1ccncc1,MCF7,0.0
CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,A375,1.0
OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)c1ccccc1,MCF7,0.0
CN1C=CC=CC1=C/N=O,MCF7,0.0
CC(C(O)=O)c1ccc(cc1)C(=O)c1cccs1,A375,0.0
Clc1ccc(Cl)c(c1)c2ccc(/C=C(C#N)/C(=O)Nc3cccc4ncccc34)o2,MCF7,0.0
CC(=O)N[C@@H]1CC=CCCC(=O)N[C@@H](COC1=O)c1ccc(F)cc1,U266B1,0.0
C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,A375,0.0
COc1ccccc1S(=O)(=O)N(C)C[C@@H]2OCc3cnnn3CCCC(=O)N(C[C@H]2C)[C@H](C)CO,A549,0.0
Cc1c(CCC(O)=O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C=C)c(C)c4C=C)c(C)c3CCC(O)=O,A375,0.0
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,SKB,0.0
O=C(N1CCCCC1)c1ccc2nccnc2c1,HELA,0.0
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,YAPC,0.0
CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1,A549,0.0
Cc1ccc(cc1C)N(C(C(=O)NC2CCCCC2)c3cccnc3)C(=O)CCl,SKB,1.0
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1,VCAP,0.0
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NC(=O)Nc4ccccc4)cccc3C1=O,VCAP,0.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,VCAP,0.0
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,PC3,0.0
CCOC(=O)N1[C@H](CC)C[C@@H](N(Cc2cc(cc(c2)C(F)(F)F)C(F)(F)F)C(=O)OC)c2cc(ccc12)C(F)(F)F,A375,0.0
COc1ccc2N3C(=NC(=O)C(Cc4ccccc4)C3=O)Sc2c1,PC3,0.0
Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1,SKB,0.0
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3C1=O,VCAP,0.0
CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,HT29,0.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,PC3,0.0
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(c2)C(=O)O)OCc3ccccc3-c4ccccc4C1=O,HCC515,0.0
OCCNc1nc(Nc2ccccc2OC(F)(F)F)nc(n1)N3CCCC3,A549,0.0
Cn1c2ncn(CC(O)CO)c2c(=O)n(C)c1=O,PC3,0.0
C(CN1CCN(C\C=C\c2ccccc2)CC1)OC(c1ccccc1)c1ccccc1,MCF7,0.0
