SMILES,cell_id,label
COC(=O)c1cc2cc(ccc2n1Cc1ccc(Cl)cc1)S(C)(=O)=O,MCF7,0.0
C[N+](C)(C)CCOP(O)(=O)OC[C@H](O)CO,MDAMB231,0.0
CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O,SKB,0.0
CN\C(NC#N)=N/c1ccc(cc1)C1=NNC(=O)CC1C,A375,0.0
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MCF7,0.0
C[C@@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]2CC[C@@]1(O)C#C,PC3,0.0
CC[C@H](NC(=O)c1c(C)c(nc2ccccc12)-c1ccccc1)c1ccccc1,VCAP,0.0
C[C@H](O)C#Cc1ccc(cc1)[C@H]1[C@H](CO)N2CCCCN(C[C@H]12)C(=O)c1ccc2OCOc2c1,A549,0.0
C[C@H](Oc1ccc(cc1C(=O)N1CCN(CC1)c1ncc(cc1F)C(F)(F)F)S(C)(=O)=O)C(F)(F)F,JURKAT,0.0
CCCc1nn(C)c2c1nc([nH]c2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1,A375,0.0
NC(=O)OCC(COC(N)=O)c1ccccc1,HELA,0.0
CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC,HT29,0.0
Cc1c(Cl)cccc1Nc1ccccc1C(O)=O,JURKAT,0.0
C[C@]12CCC3C([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)C1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1,YAPC,0.0
Nc1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1,VCAP,0.0
CC(Oc1ccc(O)cc1)(P(O)(O)=O)P(O)(O)=O,PC3,0.0
CNC(=O)c1ccc(Nc2ncc(c(NCc3nccnc3N(C)S(C)(=O)=O)n2)C(F)(F)F)cc1,BC3C,1.0
Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl,A549,0.0
C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2O,YAPC,0.0
CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(C2=O)c5cc(F)ccc5F,A549,0.0
Cn1cc(cn1)-c1[nH]c2cc(NC(=O)[C@H](N)C3CCCCC3)cc3c2c1cn[nH]c3=O,MCF7,0.0
Clc1ccc(CN2C\C=C\CCC(=O)N[C@@H](COC2=O)c2ccccc2)cc1,HT29,0.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,MCF7,0.0
O[C@@H]1[C@@H](O)[C@H](Oc2ccc(cc2)c3coc4cc(O)ccc4c3=O)O[C@@H]([C@H]1O)C(=O)O,VCAP,0.0
COc1ccc(cc1)C(Cl)=C(c1ccc(OC)cc1)c1ccc(OC)cc1,PC3,0.0
OC[C@@H]1[C@H]2Cn3c(ccc(-c4cccc(F)c4)c3=O)[C@@H]([C@H]1C(=O)NC1CCC1)N2Cc1cocn1,HEPG2,0.0
Cc1nc2c(O)cccc2c(=O)[nH]1,PC3,0.0
CN(C)CCOC1=CC=C(C=C1)C2=NC(=C3C=CC4=C(CCC4=C3)N=O)C(=C5C=CNC=C5)N2,A549,0.0
CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1,NCIH2172,1.0
Oc1nc(nc2CCSCc12)-c1ccc(cc1)C(F)(F)F,VCAP,0.0
CC[N+](CC)(CC)CCC(O)(C1CCCCC1)c1ccccc1,PC3,0.0
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,PC3,0.0
COc1ccc2oc(=N)c(cc2c1)c3nc4ccccc4[nH]3,PC3,0.0
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)C2CCCCC2)OCCCC[C@@H](C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O,VCAP,0.0
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,PC3,0.0
OC[C@H]1[C@H](c2ccccc2)C2(CN(C2)C(=O)CC2CC2)N1CC1CCOCC1,PC3,0.0
OC[C@H]1O[C@H](CC1O)n1cc(C=CBr)c(=O)[nH]c1=O,A549,0.0
CC12CCC3C(CCC4=Cc5oncc5CC34C)C2CCC1(O)C#C,MCF7,0.0
OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1,T47D,1.0
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N1CCC(CC1)N1CCOCC1,HEC251,0.0
Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6oc8ccccc78,VCAP,0.0
O=C(NC1(CCCCC1)C#N)c2cc3ccccc3oc2=O,PC3,0.0
COc1ccc2[C@@H]3CC[C@@]4(C)[C@@H](CC[C@]4(O)C#C)[C@@H]3CCc2c1,U2OS,0.0
CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC,PC3,0.0
COc1ccccc1S(=O)(=O)N[C@H]1C=C[C@H](CC(=O)N2CCCCC2)O[C@H]1CO,MCF7,0.0
Cc1ncc(CO)c(CO)c1O,MCF7,0.0
CC=Cc1ccc2[C@H]3N[C@@H](C(=O)NC4CCC4)[C@H](CO)[C@H]3Cn2c1=O.OC[C@@H]1[C@H]2Cn3c(=O)c(ccc3[C@H]2N[C@H]1C(=O)NC1CCC1)C=C/C,A549,0.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,SKB,0.0
CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12,PC3,0.0
NC(=C(C#N)C#N)/C(=C/c1ccc(O)cc1)/C#N,HCC515,0.0
Nc1nc2cc(Cl)ccc2o1,PC3,0.0
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1,VCAP,0.0
CN1C2CCC1CC(C2)OC(=O)c3c[nH]c4ccccc34,HCC515,0.0
C[C@@H]1CC(=O)NN=C1c1ccc(Cl)cc1,MCF7,0.0
CCCCC(C)(C)[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CC=C/CCCC(O)=O,A375,0.0
CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,PC3,0.0
CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23,HT29,1.0
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,PC3,0.0
CCCOCCn1c2cc(ncc2nc(N2CCN(CCO)CC2)c1=O)-c1ccc(OC)nc1,NCIH838,0.0
Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,PC3,0.0
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,MDAMB231,0.0
COC1CC(C)CC2=C(NCC=C)C(=O)C=C(NC(=O)C(C)=CC=CC(OC)C(OC(N)=O)C(C)=CC(C)C1O)C2=O,A549,0.0
O=C1N(c2ccccc2C1(Cc1ccncc1)Cc1ccncc1)c1ccccc1,HT29,0.0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,MCF7,0.0
Cc1nnc2ccc(nn12)-c1cccc(c1)C(F)(F)F,A375,0.0
Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1,PC3,0.0
COCC(=O)N1C[C@@]2(C1)CN(Cc1ccc3OCOc3c1)[C@@H](CO)c1c2c2ccc(OC)cc2n1C,A549,0.0
N(Cc1ccccc1)c1ncnc2nc[nH]c12,HT29,0.0
CCCc1cc(ccn1)c2nc(cs2)c3ccc(C)cc3,A375,0.0
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CCNC(C)=O)C(=O)N[C@]1(C)CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC1=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,PC3,0.0
OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,A375,0.0
CN1CCOC(c2ccccc2)c2ccccc2C1,MCF10A,0.0
CCCCCCCCCCCCCCCC(=O)C1C(=O)OC(CO)C1=O,SKB,0.0
O[C@H]1COC[C@@H]2O[C@@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@H]2N(Cc2ccc3OCOc3c2)C1,HCC515,0.0
CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)Nc3c(C)noc3C)ccc2OC[C@@H](C)N(C)C[C@@H]1C,A375,0.0
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C(F)(F)F)c3)c2cc1OC,MCF7,0.0
CCc1nc(c(s1)-c1ccnc(NC(=O)c2ccccc2)c1)-c1cccc(C)c1,A375,0.0
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c1cc(OC)c(OC)c(OC)c1,BEN,1.0
COc1ccccc1CNC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(cc23)NS(C)(=O)=O)[C@@H](CO)O1,HT29,0.0
Clc1nssc1=Nc2nncs2,SKB,0.0
OCc1ccc(/C=N/NC(=O)CCCCCCC(=O)O)o1,VCAP,0.0
Fc1cccc([C@@H]2CC[C@@H](NC(=O)N3CCC(CC3)n3c4cccnc4[nH]c3=O)C(=O)N(CC(F)(F)F)C2)c1F,NCIH838,0.0
O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,VCAP,0.0
CS(=O)(=O)n1cc2CN(Cc2n1)[C@H]1CO[C@@H]([C@@H](N)C1)c1cc(F)ccc1F,GI1,0.0
COc1ccc(CN2CCN(CC2)C(c2ccc(F)cc2)c2ccc(F)cc2)c(OC)c1OC,IM95,0.0
CC(C)NC(=O)N[C@@H]1CC[C@@H](CCn2cc(nn2)-c2ccc(F)cc2)O[C@H]1CO,MCF7,0.0
CCOC(=O)C1=CCCC[C@H]1S(=O)(=O)Nc1ccc(F)cc1Cl,K562,0.0
CC(C)(N)Cc1ccccc1,MCF7,0.0
COC1=CC(=NC1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1,MDAMB468,1.0
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,VCAP,0.0
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,HT29,0.0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,MCF7,0.0
CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]21C,PC3,0.0
CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3ccccc3Cl)cc2OC[C@H](C)NC[C@H]1C,PC3,0.0
Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,MCF7,0.0
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)OCc3cn(CCCC1=O)nn3,A549,0.0
Brc1ccc2ncnc(NCC=C)c2c1,PC3,0.0
O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1,VCAP,0.0
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(O)=O)ccc12,G401,0.0
CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,MCF7,1.0
CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,PC3,0.0
COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1O,MCF7,0.0
COC(=O)c1csc(n1)C(=O)c2c[nH]c3ccccc23,PC3,0.0
Cc1c2c(oc1S(O)(=O)=O)-c1ccc3c(CCCC3(C)C)c1C(=O)C2=O,A375,0.0
Cc1cc(C)n(n1)c2nc(NCCCO)c3c4CCCCc4sc3n2,HT29,0.0
COc1c(OCCCN2CCOCC2)ccc2C3=NCCN3C(NC(=O)c3cnc(N)nc3)=Nc12,KMS34,1.0
CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(s1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,A549,0.0
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O,PC3,0.0
CC(=O)N/N=C(\C)/c1ccc(NC(=O)C2CC2)cc1,A549,0.0
CN(C)c1ccc(NC(=O)Nc2cc(C)nc3c(F)cc(F)cc23)cc1,PC3,0.0
Oc1c(I)cc(Cl)c2cccnc12,MCF7,0.0
COc1cccc(c1)c2ccc3ncnc(N(C)Cc4ccco4)c3c2,VCAP,0.0
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@@H]2[N+]3=C1C(C)=C1[C@@H](CCC(N)=O)C(C)(C)C4=[N+]1[Co]31(C#N)N3C([C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]23C)=C(C)C2=[N+]1C(=C4)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O)OP(O)(=O)O[C@@H]1[C@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12,HT29,0.0
CCN(CC)C(=O)N1CCN(C)CC1,VCAP,0.0
O=C1CN=C(c2c3CCCCc3sc2N1)c1ccccc1,NCIH2110,0.0
C(C1=NCCN1)c1ccccc1,PC3,0.0
NC(=O)[C@@]1(Cc2ccccc2CN=[N+]=[N-])N=C(O[C@H]1c3ccccc3CN=[N+]=[N-])c4ccc(OCCCO)cc4,MCF7,0.0
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)OCCCC[C@@H](C)Oc4ccc(NC(=O)c5ccncc5)cc4C1=O,PC3,0.0
CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC,YAPC,0.0
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3c(NC(=O)NC4CCCCC4)cccc3C1=O,VCAP,0.0
ON1C(Nc2ccccc2C1=O)c3ccc(o3)c4ccc(C#N)cc4,PC3,0.0
CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,AN3CA,0.0
CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,COV434,0.0
COc1ccc2c3c([C@@H](CO)NC[C@]33CCN(CC3)S(=O)(=O)c3cccc(C)c3)n(C)c2c1,HT29,0.0
O[C@H]1COC[C@@H]2O[C@H](CC(=O)NCCc3ccncc3)CC[C@H]2N(Cc2cccc(F)c2)C1,MCF7,0.0
CN(Cc1ccccc1)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)C4CCCN4C(=O)Nc5ccccc5[N+](=O)[O-],MCF7,0.0
CO[C@@H]1CN(C)C(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2OC[C@@H](C)N(C[C@H]1C)C(=O)c1ccc2OCOc2c1,VCAP,0.0
COC1=CC=C(C=C1)C2(CCOCC2)CNC(=O)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,A549,0.0
CN1[C@H]2CC(C[C@@H]1[C@H]3O[C@H]32)OC(=O)[C@H](CO)c4ccccc4,MCF7,0.0
COc1ccccc1-c1ccc(cc1)[C@@H]1[C@H](CO)N([C@H]1C#N)C(=O)CN(C)C,A375,0.0
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,HME1,0.0
CCCCCC=C/CC=C/CC=C/CCCCC(O)=O,PC3,0.0
CO[C@@]12[C@@H]3NC3CN1C1=C([C@@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,ZR751,1.0
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)c3ccccc3)OCc4cn(CCCC1=O)nn4,HT29,0.0
Cc1nc(N2CCN(CC2)C(=O)COc2ccccc2C)c2c3CCCCc3sc2n1,A549,0.0
O=C(NC1CCCC1)N1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1cccnc1,VCAP,0.0
CCCCC[C@H](O)/C=C/C1=C(C/C=CCCCC(=O)O)C(=O)CC1,SKB,0.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,PC3,0.0
COc1ccc2c(O[C@@H]3C[C@@H]4C(C3)C(=O)N(C)CCCCC=C/[C@@H]3C[C@]3(NC4=O)C(=O)NS(=O)(=O)C3CC3)cc(nc2c1C)-c1nc(cs1)C(C)C,HELA,1.0
CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12,MDAMB231,0.0
CCn1cc(CN2CCCC(C2)C(=O)c3cccc(c3)C(F)(F)F)cn1,MCF7,0.0
FC(F)Oc1ccc(cc1OCC2CC2)C3=Nn4c(nnc4SC3)c5ccccc5Cl,VCAP,0.0
CCC1NC(=O)C([C@H](O)[C@H](C)C/C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,A375,0.0
Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cccc3OCCOc23)c1,A375,0.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,MCF7,0.0
COc1ccc(cc1OC1CCCC1)C(=O)Nc1c(Cl)cncc1Cl,GI1,0.0
Clc1ccccc1C=c1/sc2nc3cc(Br)cnc3n2c1=O,PC3,0.0
OC[C@H]1N[C@@H](C#N)[C@@H]1c1ccc(cc1)C#CC1CCCCC1,HCC515,0.0
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3C1=O,A549,0.0
CC1CN(CCCn2c3ccccc3c4ccccc24)CC(C)N1,VCAP,0.0
