SMILES,cell_id,label
O=C(Nc1ccccc1-c1nc2ccccc2[nH]c1=O)c1ccccn1,NOMO1,0
CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,A549,0
O=C(Oc1cccc(\C=N\Nc2nc(Nc3ccccc3)nc(n2)N2CCOCC2)c1)c1ccco1,PC3,1
CC12CCC3C(C2CCC1O)C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34,VCAP,0
CCCCCCCCOc1ccccc1C(=O)Nc1ccc(cc1)C(=O)OCC[N+](C)(CC)CC,MCF7,0
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC,A549,0
CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(C)=C[C@@H]1CC[C@@H](Cl)[C@@H](C1)OC,HT29,1
CS(=O)(=O)C(=C\c1cccn1S(=O)(=O)c1cccc2ccccc12)\C#N,A549,0
CCn1nc(Cc2cccc3ccccc23)c(C#N)c1N,A375,0
CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,PC3,0
Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1,NKDBA,0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,PC3,1
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NC(=O)c3ccncc3)cc2C1=O,MCF7,0
FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1,MCF10A,1
