SMILES,cell_id,label
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccnc2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,A549,0.0
Cc1c(O)c(=O)n(-c2ccccc2)n1C,PC3,0.0
COc1ccc(cc1)S(=O)(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,HEPG2,0.0
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,PC3,0.0
Fc1ccc(cc1)N1CCN(CCCN2c3cccc4cccc(c34)S2(=O)=O)CC1,MCF7,0.0
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)CCC(F)(F)F)OCCCC[C@H](C)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C1=O,PC3,0.0
CC(=NOC(=O)c1ccc(F)cc1)c2nccs2,A375,0.0
COC(=O)C1=C(C)NC(C)=C([C@H]1c1ccccc1C(F)(F)F)[N+]([O-])=O,PC3,0.0
CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23,MCF7,0.0
CCOC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4,PC3,0.0
CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,PC3,0.0
Fc1cccc(F)c1S(=O)(=O)N2CC(CNS(=O)(=O)c3ccc4OCCOc4c3)C2,VCAP,0.0
CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,HBL1,1.0
Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12,A375,0.0
CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1,U2OS,0.0
OC1(CN(C1)C(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F)[C@@H]1CCCCN1,THP1,1.0
NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O)OC(=O)NCCN)c1ccccc1,JURKAT,0.0
Brc1ccccc1C(=O)Nc2ccccc2,A549,0.0
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,BICR6,1.0
COc1ccc(cc1)-c1csc(NC(=O)CSc2nnc3c(C)cc4ccccc4n23)n1,A375,0.0
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)OC2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6,A549,0.0
Cc1cncc2cccc(c12)S(=O)(=O)N3CC[C@H](N)C3,NOMO1,0.0
Clc1ccc(CNC(=O)C[C@@H]2CC=CCCC(=O)O[C@@H](CNC2=O)c2ccccc2)cc1,HT29,0.0
Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,MCF7,1.0
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O,A549,0.0
Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F,OC316,1.0
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,K562,1.0
CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21,A549,0.0
OCCCCC/C=C\C/C=C\C(O)CC1CCC(CC(=O)O)O1,VCAP,0.0
CNC(=O)C1OC(C(O)C1O)n2cnc3c(NCc4cccc(I)c4)ncnc23,SKB,0.0
CCCN(CCC)c1ncnc2n(ncc12)c3ccc(OC)cc3,PC3,0.0
