SMILES,cell_id,label
Nc1ccc(cn1)C(=O)Nc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,BT20,1.0
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O,VCAP,0.0
COc1ccccc1CNC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(cc23)NS(C)(=O)=O)[C@@H](CO)O1,HEPG2,0.0
COC(=O)CC1C(C)(C)C(=O)C[C@@H]2O[C@@]34CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC(C3=C)[C@]12C,VCAP,0.0
COC(=O)C1=CO[C@@H](O)[C@H]2[C@@H]1CC=C2CO,PC3,0.0
CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,GI1,0.0
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3cc(ccc3S1(=O)=O)C4=CCCC4,VCAP,0.0
Clc1ccc2Nc3cscc3C(=O)Nc2c1,HT29,0.0
Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1,PC3,0.0
FC(F)(F)Sc1ccc(cc1)C(=O)OCC#CCSc1nnc(o1)-c1cccc2ccccc12,A549,0.0
CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O,PC3,0.0
CN(C)Cc1ccc(cc1)S(=O)(=O)n1ccc(c1)C=CC(=O)NO,MCF7,1.0
CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,A375,0.0
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4)c5ccccc15,HCC515,0.0
COc1ccc(cc1)C(=O)NC(c2ccc(OC)c(OC)c2)c3cc(Cl)c4cccnc4c3O,MCF7,0.0
O=C1NC(=O)C(S1)=C/c1ccc2nccnc2c1,U2OS,0.0
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc3OCCOc3c2)OCc4cn(CCCC1=O)nn4,PC3,0.0
CN1Cc2c(ncn2-c2ccsc2C1=O)C(=O)OC(C)(C)C,VCAP,0.0
Clc1ccc(CNC(=O)C[C@@H]2CC=CCCC(=O)N3CCC[C@@H]3COC2=O)cc1,MCF7,0.0
CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C/C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O,SKB,0.0
C1Cc2c(CN1)[nH]c3ccccc23,VCAP,0.0
COc1ccc2c3c([C@H](CO)N(C[C@]33CCN(Cc4cccc(F)c4)CC3)C(=O)C3CC3)n(C)c2c1,PC3,0.0
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(C(=O)c4c(O)cccc4C3=C)C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O,A549,0.0
COC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)c4ccc5OCOc5c4)cc23)[C@H](CO)O1,HT29,0.0
CN(C)CCC=C1c2ccccc2COc2ccccc12,A549,0.0
C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,YAPC,0.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,PC3,0.0
COc1ccc2c3c([C@H](CO)N(C)C[C@]33CCN(CC3)C(=O)c3ccccc3F)n(C)c2c1,A549,0.0
CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nc(=O)o[nH]1,PC3,0.0
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,U2OS,1.0
COc1ccc2C[C@H]3[C@@H]4CCCC[C@@]4(CCN3C)c2c1,A549,0.0
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(O)=O)ccc12,U2OS,0.0
Oc1nnc(Sc2ncc(s2)[N+]([O-])=O)n1-c1ccc2OCCOc2c1,VCAP,0.0
CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,CJM,0.0
CO[C@H](CN(C)Cc1cc(F)ccc1F)[C@@H](C)CN([C@@H](C)CO)S(=O)(=O)c1ccc(F)cc1,PC3,0.0
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,VCAP,0.0
CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3N(CCc3cc2OC)C(=O)CN(C)C)nc2[nH]ccc12,TMD8,0.0
Oc1cc(O)cc(c1)C=Cc1ccc(O)c(O)c1,HCC515,0.0
Clc1ccc(CNC(=O)C[C@@H]2C\C=C\CCC(=O)N3CCC[C@@H]3COC2=O)cc1,HT29,0.0
CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,MCF7,0.0
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CCC(F)(F)F)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O,MCF7,0.0
Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,NCIH841,1.0
CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1,A549,0.0
CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C11CCC1)c1cnc(C#N)c(c1)C(F)(F)F,MCF7,0.0
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4c(NC(=O)c5ccncc5)cccc4C1=O,MCF7,0.0
C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,MCF7,0.0
OC(=O)[C@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,MCF7,0.0
CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C,A375,0.0
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O,A549,0.0
O=C(Nc1ccccc1)c2cccc(c2)S(=O)(=O)NCCC3(CC4CC5CC(C4)C3)C5,VCAP,0.0
CN(C)C(=O)c1cccc(c1)-n1sc2ccccc2c1=O,VCAP,0.0
CC(=O)C(C#N)C(=O)Nc1cc(Br)ccc1Br,MCF7,0.0
CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C,PC3,0.0
CN(CS(O)(=O)=O)c1c(C)n(C)n(-c2ccccc2)c1=O,PC3,0.0
[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc1ccncc1,SKB,0.0
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O,PC3,0.0
CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,A549,0.0
