SMILES,cell_id,label
Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,JURKAT,0.0
CC(C)C#Cc1ccc(cc1)[C@H]1[C@H](CO)N([C@H]1C#N)C(=O)c1cccc(F)c1,A375,0.0
COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4ccccc4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2,VCAP,0.0
Cn1ncc(Cl)c1-c1cc(sc1Cl)C(=O)N[C@H](CN)Cc1cccc(F)c1,OCILY10,1.0
CC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(cc2)C(C)(C)C)cc1,A549,0.0
Clc1cccc(N2CCN(CC2)c2cc(=O)n(C3CCCCC3)c(=O)[nH]2)c1Cl,VCAP,0.0
NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O,HT29,0.0
CN(C)C(=O)Oc1ccc[n+](C)c1,SH4,0.0
COCC(=O)N(C(C(=O)NC(C)(C)C)c1cccnc1)c1ccc(cc1)C(C)(C)C,VCAP,0.0
CS(=O)(=O)c1ccc(cc1)-c1cc(Br)sc1-c1ccc(F)cc1,MCF7,0.0
CCCC[C@@H](C)/C=C(C)/C=C(C)/C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,VCAP,0.0
ONC(=O)c1ccncc1,A375,0.0
COc1cc(/C=C(\C#N)/C(=O)c2ccc(O)c(O)c2)cc(I)c1O,HT29,0.0
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,PC3,0.0
OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,HT29,0.0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C,MCF7,0.0
CCCN(CCC)c1ncnc2n(ncc12)c3ccc(OC)cc3,PC3,0.0
Oc1c(C(=O)C2CC2)c(=O)[nH]c2cc(Cl)ccc12,SNU407,0.0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@]1(O)C(=O)CO,MCF7,0.0
Cc1cc(C)c2nc3sc(=C/c4ccc(o4)-c4ccccc4C(O)=O)c(=O)n3c2c1,VCAP,1.0
OC(=O)CCc1cc(I)c(O)c(I)c1,A549,0.0
