SMILES,cell_id,label
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cncnc2)Oc2cc(ccc2S1(=O)=O)-c1ccc(C)cc1,MCF7,0
Nc1ncnc2OCCN(c3ccc(cc3)[C@H]3CC[C@H](CC(O)=O)CC3)C(=O)c12,YAPC,0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,HCC95,1
COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC,YAPC,0
CC(C)c1cc(/C=C(\C#N)/C(=O)NCCCc2ccccc2)cc(C(C)C)c1O,MCF7,0
CC(C)Cc1ccc(cc1)C(C)C(O)=O,MCF7,0
CNC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)Nc1cccc2ccccc12,HT29,0
CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)C(=O)NC3CCCCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,A375,0
CC(C)c1onc(c1COc2ccc(C=Cc3cccc(c3)C(=O)O)c(Cl)c2)c4c(Cl)cccc4Cl,VCAP,0
CC(=O)N[C@@H]1CC=CCCC(=O)N[C@@H](COC1=O)c1ccccc1,U266B1,0
OCCN1C[C@@H](O)[C@@H](O)C(O)C1CO,HT29,0
CN(C)Cc1ccc(cc1)S(=O)(=O)n1ccc(c1)\C=C\C(=O)NO,PC3,1
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,A549,1
COC(OC)[C@]12O[C@@H]3[C@H](O1)[C@@](O)(Oc1c3c(C)cc3c(OC)c4[C@@H](O)C[C@H](O)C(=O)c4c(O)c13)[C@@]21CO1,HCC515,0
C1CN=C(N1)c1ccc2ccccc2n1,MCF10A,0
C\C(N(Cc1cnc(C)nc1N)C=O)=C(\CCO)SSCC1CCCO1,HT29,0
CC(C)c1nc(nc(-c2ccc(F)cc2)c1C=C[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O,JURKAT,0
COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)c1ccccc1,YAPC,0
Cn1cnc(c1)-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,A549,0
C[C@H]1[C@@H]2CCC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)C)C,VCAP,0
CON=C(/C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccn4ncccc34)=C(N2C1=O)C(O)=O)c1nsc(N)n1,HELA,0
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,PC3,0
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,HME1,0
Nc1nc(OCc2ccccc2)c2[nH]cnc2n1,MCF7,0
COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1,A549,0
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O,VCAP,0
C1CCC(CC1)c1ccc2n3CCNC4CCCc(c34)c2c1,BEN,1
COc1c(C=O)c(O)cc2C(=O)c3ccccc3C(=O)c12,PC3,0
OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N,MCF7,0
OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,THP1,0
CC(Oc1ccc(Cl)cc1C)C(=O)Nc2ccc(cc2)C(=O)Nc3ccccc3C(=O)O,VCAP,0
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N[C@H]3CCC[C@@H]3O)ncnc12,VCAP,0
Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1,HT29,1
COc1ccnc(NC2CCN(CC2)C(=O)c2ccc(cc2)C#N)c1,A549,0
OC(=O)[C@@H]1CSCN1C(=O)[C@@H]1CCC(=O)N1,VCAP,0
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2cccnc2)Oc3cc(ccc3S1(=O)=O)C4=CCCC4,VCAP,0
C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C,VCAP,0
Nc1c(c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,BEN,1
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F,VCAP,0
CCN1CCN(CC1)C(c2cccnc2)c3ccc4cccnc4c3O,A549,0
CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,VCAP,0
OC(C1CCNCC1)(c1ccccc1)c1ccccc1,PC3,0
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,MCF10A,0
O=c1[nH]c2ccccc2c3ccccc13,PC3,0
CC(=O)Nc1ccc(CC(O)=O)cc1,MDAMB231,0
